Index (sec),latitude,longitude,elevation,time_gps,speed,sat,sys_time,sim_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac,node_id,cid,psc_pci,rssi,rsrq,rssnr,slev,gps,accuracy,lat,long,band,arfcn,Network Throughput,Time tcp,Throughput tcp,Predicted Throughput
1,22.30979385,87.3078372,-14.0,17:32:34,0.0,10,17:32:34,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,672497269,15588775,0,0,1,-94,LTE,405,51,42,60004,1,381,-83,-12,80,4,0,-1,-1.0,-1.0,1800,1566,1499692,17:32:34,649944,1259417.4416666664
2,22.30979494,87.30783656,-14.0,17:32:35,0.0,10,17:32:35,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,674074561,15624457,0,0,1,-94,LTE,405,51,42,60004,1,381,-83,-12,80,4,0,-1,-1.0,-1.0,1800,1566,1559080,17:32:35,1742644,1259417.4416666664
3,22.30979582,87.30783812,-13.0,17:32:36,0.0,10,17:32:36,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,675744201,15656697,0,0,1,-101,LTE,405,51,42,60004,1,381,-88,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1612974,17:32:36,1612334,1501603.4416666664
4,22.30979592,87.30783809,-1.0,17:32:37,0.0,9,17:32:37,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,677429921,15679317,0,0,1,-101,LTE,405,51,42,60004,1,381,-88,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1701880,17:32:37,1681352,1501603.4416666664
5,22.30979539,87.30783763,-1.0,17:32:38,0.0,10,17:32:38,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,679139761,15702769,0,0,2,-101,LTE,405,51,42,60004,1,381,-87,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1708340,17:32:38,1772540,258645.0
6,22.30979514,87.30783881,-3.0,17:32:39,0.0,9,17:32:39,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,680924641,15725800,0,0,2,-101,LTE,405,51,42,60004,1,381,-87,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1733292,17:32:39,1705296,258645.0
7,22.30979546,87.30783932,-5.0,17:32:40,0.0,11,17:32:40,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,682345093,15741712,0,0,2,-101,LTE,405,51,42,60004,1,381,-87,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1807911,17:32:40,1929255,258645.0
8,22.30979537,87.30783978,-4.0,17:32:41,0.0,13,17:32:41,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,683854141,15764488,0,0,1,-88,LTE,405,51,42,60004,1,381,-80,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1436364,17:32:41,1432284,1259417.4416666664
9,22.30979528,87.30784026,-5.0,17:32:42,0.0,10,17:32:42,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,685554885,15793504,0,0,1,-88,LTE,405,51,42,60004,1,381,-80,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1531824,17:32:42,1567512,1259417.4416666664
10,22.30979499,87.30784029,-7.0,17:32:43,0.0,12,17:32:43,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,687255477,15818412,0,0,1,-88,LTE,405,51,42,60004,1,381,-80,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1729760,17:32:43,1823660,1259417.4416666664
11,22.30979415,87.30784042,-7.0,17:32:44,0.0,12,17:32:44,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,688595529,15834716,0,0,1,-99,LTE,405,51,42,60004,1,381,-89,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1725500,17:32:44,1766336,1278996.9416666664
12,22.30979494,87.30785436,-7.0,17:32:45,1.62,11,17:32:45,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,690064585,15843440,0,0,1,-99,LTE,405,51,42,60004,1,381,-89,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1356356,17:32:45,1382460,687809.125
13,22.30979404,87.30787122,-9.0,17:32:46,1.57,11,17:32:46,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,691348437,15846560,0,0,1,-99,LTE,405,51,42,60004,1,381,-89,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1477780,17:32:46,1522676,657463.125
14,22.30979448,87.30788812,0.0,17:32:47,1.48,12,17:32:47,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,692723405,15856752,0,0,1,-106,LTE,405,51,42,60004,1,381,-95,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1286972,17:32:47,1257396,1283588.875
15,22.30979144,87.30790928,2.0,17:32:48,1.51,13,17:32:48,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,694189417,15879804,0,0,1,-106,LTE,405,51,42,60004,1,381,-95,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1385160,17:32:48,1401352,1258923.75
16,22.30978782,87.30793275,1.0,17:32:49,1.62,12,17:32:49,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,695380885,15895872,0,0,1,-106,LTE,405,51,42,60004,1,381,-95,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1489064,17:32:49,1366708,1053561.75
17,22.30977873,87.30796354,1.0,17:32:50,2.48,13,17:32:50,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,696671461,15915984,0,0,1,-107,LTE,405,51,42,60004,1,381,-95,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1207536,17:32:50,1408840,1347787.0
18,22.30976938,87.30799607,1.0,17:32:51,2.22,13,17:32:51,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,697867001,15934796,0,0,1,-107,LTE,405,51,42,60004,1,381,-95,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1310688,17:32:51,1320048,952291.90625
19,22.30976287,87.30802335,3.0,17:32:52,2.03,12,17:32:52,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,698850665,15947352,0,0,1,-107,LTE,405,51,42,60004,1,381,-95,-11,80,4,0,-1,-1.0,-1.0,1800,1566,1214352,17:32:52,1248436,710359.1845238095
