Index (sec),latitude,longitude,elevation,time_gps,speed,sat,sys_time,sim_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac,node_id,cid,psc_pci,rssi,rsrq,rssnr,slev,gps,accuracy,lat,long,band,arfcn,Network Throughput,Time tcp,Throughput tcp,Predicted Throughput
1,22.31761444,87.31119325,37.0,16:39:29,0.0,9,16:39:29,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4452802,409636,0,0,3,-109,LTE,405,51,42,62289,2,336,-105,-13,-40,3,0,-1,-1.0,-1.0,1800,1566,0,16:39:29,16184,181624.92727272728
2,22.31761445,87.31119325,37.0,16:39:30,0.0,8,16:39:30,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4476922,410800,0,0,3,-109,LTE,405,51,42,62289,2,336,-105,-13,-40,3,0,-1,-1.0,-1.0,1800,1566,24140,16:39:30,25024,181624.92727272728
3,22.31761448,87.31119327,37.0,16:39:31,0.0,9,16:39:31,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4488982,411288,0,0,4,-110,LTE,405,51,42,62289,2,336,-109,-15,-40,2,0,-1,-1.0,-1.0,1800,1566,25284,16:39:31,24748,101354.0
4,22.31761451,87.31119326,37.0,16:39:32,0.0,12,16:39:32,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4499702,411920,0,0,4,-110,LTE,405,51,42,62289,2,336,-109,-15,-40,2,0,-1,-1.0,-1.0,1800,1566,12548,16:39:32,11572,101354.0
5,22.31761457,87.31119332,37.0,16:39:33,0.0,11,16:39:33,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4505122,412438,0,0,4,-110,LTE,405,51,42,62289,2,336,-109,-15,-40,2,0,-1,-1.0,-1.0,1800,1566,11352,16:39:33,13240,101354.0
6,22.31761459,87.31119333,37.0,16:39:34,0.0,12,16:39:34,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4514502,413029,0,0,5,-108,LTE,405,51,42,62289,2,336,-106,-14,-40,2,0,-1,-1.0,-1.0,1800,1566,5938,16:39:34,6218,29459.049479166668
7,22.31761465,87.31119332,37.0,16:39:35,0.0,12,16:39:35,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4519922,413353,0,0,5,-108,LTE,405,51,42,62289,2,336,-106,-14,-40,2,0,-1,-1.0,-1.0,1800,1566,9971,16:39:35,8899,29459.049479166668
8,22.31761475,87.31119337,37.0,16:39:36,0.0,12,16:39:36,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4526622,413613,0,0,5,-108,LTE,405,51,42,62289,2,336,-106,-14,-40,2,0,-1,-1.0,-1.0,1800,1566,5744,16:39:36,6004,29459.049479166668
9,22.31761483,87.31119342,37.0,16:39:37,0.0,12,16:39:37,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4531982,413833,0,0,5,-107,LTE,405,51,42,62289,2,336,-103,-13,-40,3,0,-1,-1.0,-1.0,1800,1566,6960,16:39:37,7220,173762.63541666666
10,22.31763386,87.31120754,13.0,16:39:38,1.48,12,16:39:38,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4538682,414161,0,0,5,-107,LTE,405,51,42,62289,2,336,-103,-13,-40,3,0,-1,-1.0,-1.0,1800,1566,5580,16:39:38,5788,213692.875
11,22.31764514,87.31122583,11.0,16:39:39,1.88,12,16:39:39,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4544042,415703,0,0,5,-107,LTE,405,51,42,62289,2,336,-103,-13,-40,3,0,-1,-1.0,-1.0,1800,1566,7028,16:39:39,7288,49042.53125
12,22.31764916,87.31124516,11.0,16:39:40,1.51,12,16:39:40,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4546782,415915,0,0,4,-107,LTE,405,51,42,62289,2,336,-106,-16,-40,2,0,-1,-1.0,-1.0,1800,1566,6902,16:39:40,7166,275882.13749999995
13,22.31765243,87.31126952,-1.0,16:39:41,2.53,12,16:39:41,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4550802,416155,0,0,4,-107,LTE,405,51,42,62289,2,336,-106,-16,-40,2,0,-1,-1.0,-1.0,1800,1566,2952,16:39:41,3108,73164.54375
14,22.31765437,87.31129257,0.0,16:39:42,1.79,12,16:39:42,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4558842,416579,0,0,4,-107,LTE,405,51,42,62289,2,336,-106,-16,-40,2,0,-1,-1.0,-1.0,1800,1566,4260,16:39:42,5888,330268.36875
15,22.31765572,87.31131117,0.0,16:39:43,1.72,12,16:39:43,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4568222,416943,0,0,5,-107,LTE,405,51,42,62289,2,336,-103,-13,-40,3,0,-1,-1.0,-1.0,1800,1566,8464,16:39:43,8748,147384.875
16,22.31765624,87.31132524,1.0,16:39:44,1.3,12,16:39:44,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4576262,417203,0,0,5,-107,LTE,405,51,42,62289,2,336,-103,-13,-40,3,0,-1,-1.0,-1.0,1800,1566,9744,16:39:44,8664,395505.4583333334
17,22.31765448,87.31133578,2.0,16:39:45,1.34,13,16:39:45,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4589662,417463,0,0,5,-107,LTE,405,51,42,62289,2,336,-103,-13,-40,3,0,-1,-1.0,-1.0,1800,1566,8300,16:39:45,10028,758151.5
18,22.31765292,87.31134747,3.0,16:39:46,1.4,13,16:39:46,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4596362,417671,0,0,6,-113,LTE,405,51,42,62289,2,336,-105,-12,-40,3,0,-1,-1.0,-1.0,1800,1566,13660,16:39:46,12596,36314.416666666664
19,22.31765115,87.31136083,3.0,16:39:47,1.63,13,16:39:47,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4604402,417827,0,0,6,-113,LTE,405,51,42,62289,2,336,-105,-12,-40,3,0,-1,-1.0,-1.0,1800,1566,6908,16:39:47,9948,82762.25
20,22.31764873,87.31137728,-1.0,16:39:48,1.69,13,16:39:48,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4608422,418129,0,0,6,-113,LTE,405,51,42,62289,2,336,-105,-12,-40,3,0,-1,-1.0,-1.0,1800,1566,8196,16:39:48,5790,81136.59375
21,22.31764866,87.31139156,-1.0,16:39:49,1.36,13,16:39:49,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4611102,418181,0,0,6,-110,LTE,405,51,42,62289,2,336,-108,-13,-40,2,0,-1,-1.0,-1.0,1800,1566,4322,16:39:49,5696,108784.72916666667
22,22.31765031,87.3114047,1.0,16:39:50,1.22,13,16:39:50,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4613782,418297,0,0,6,-110,LTE,405,51,42,62289,2,336,-108,-13,-40,2,0,-1,-1.0,-1.0,1800,1566,2732,16:39:50,1444,98960.25
23,22.31765584,87.31141863,-1.0,16:39:51,1.32,12,16:39:51,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4621822,418856,0,0,6,-109,LTE,405,51,42,62289,2,336,-103,-12,-40,3,0,-1,-1.0,-1.0,1800,1566,2796,16:39:51,2900,149946.0
24,22.31766295,87.31142952,-1.0,16:39:52,0.74,12,16:39:52,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4625842,419096,0,0,6,-109,LTE,405,51,42,62289,2,336,-103,-12,-40,3,0,-1,-1.0,-1.0,1800,1566,8599,16:39:52,10411,141933.34375
25,22.31767438,87.31143626,-2.0,16:39:53,1.07,12,16:39:53,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4632542,419496,0,0,6,-109,LTE,405,51,42,62289,2,336,-103,-12,-40,3,0,-1,-1.0,-1.0,1800,1566,4260,16:39:53,4416,136623.5
26,22.31768693,87.31144056,-1.0,16:39:54,0.87,12,16:39:54,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4640582,419920,0,0,5,-109,LTE,405,51,42,62289,2,336,-102,-11,-40,3,0,-1,-1.0,-1.0,1800,1566,7100,16:39:54,5888,78683.47916666666
27,22.31769575,87.31144142,0.0,16:39:55,0.62,12,16:39:55,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4647282,420192,0,0,5,-109,LTE,405,51,42,62289,2,336,-102,-11,-40,3,0,-1,-1.0,-1.0,1800,1566,8464,16:39:55,10232,61945.14322916667
28,22.31770423,87.31145352,0.0,16:39:56,1.27,13,16:39:56,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4659342,420756,0,0,5,-109,LTE,405,51,42,62289,2,336,-102,-11,-40,3,0,-1,-1.0,-1.0,1800,1566,6972,16:39:56,7220,281186.5
29,22.31771189,87.31146763,-1.0,16:39:57,1.16,13,16:39:57,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4672742,421336,0,0,7,-111,LTE,405,51,42,62289,2,336,-104,-13,-40,3,0,-1,-1.0,-1.0,1800,1566,12624,16:39:57,14560,106796.42708333334
30,22.31771508,87.31148835,2.0,16:39:58,1.59,13,16:39:58,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4679442,421596,0,0,7,-111,LTE,405,51,42,62289,2,336,-104,-13,-40,3,0,-1,-1.0,-1.0,1800,1566,13980,16:39:58,13032,35753.427083333336
31,22.31771787,87.31150679,2.0,16:39:59,1.12,13,16:39:59,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4703562,422272,0,0,7,-111,LTE,405,51,42,62289,2,336,-104,-13,-40,3,0,-1,-1.0,-1.0,1800,1566,6960,16:39:59,8664,127571.33333333334
32,22.31772361,87.31152319,1.0,16:40:00,1.63,13,16:40:00,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4725002,422688,0,0,4,-110,LTE,405,51,42,62289,2,336,-103,-11,-40,3,0,-1,-1.0,-1.0,1800,1566,24796,16:40:0,25512,191391.65625
33,22.31772832,87.31154145,5.0,16:40:01,1.29,13,16:40:01,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4742422,423268,0,0,4,-110,LTE,405,51,42,62289,2,336,-103,-11,-40,3,0,-1,-1.0,-1.0,1800,1566,21856,16:40:1,21100,101421.60416666667
34,22.3177324,87.31155737,6.0,16:40:02,1.52,12,16:40:02,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4759842,424108,0,0,4,-110,LTE,405,51,42,62289,2,336,-103,-11,-40,3,0,-1,-1.0,-1.0,1800,1566,18000,16:40:2,18604,192823.98214285716
35,22.31773534,87.31157193,7.0,16:40:03,1.19,12,16:40:03,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4794682,425200,0,0,5,-109,LTE,405,51,42,62289,2,336,-105,-13,-40,3,0,-1,-1.0,-1.0,1800,1566,18260,16:40:3,23256,178723.8125
36,22.31773683,87.31158493,7.0,16:40:04,0.82,13,16:40:04,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4828182,425876,0,0,5,-109,LTE,405,51,42,62289,2,336,-105,-13,-40,3,0,-1,-1.0,-1.0,1800,1566,35932,16:40:4,39792,92394.72916666666
37,22.31773954,87.31159863,7.0,16:40:05,1.32,13,16:40:05,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4850962,426490,0,0,5,-109,LTE,405,51,42,62289,2,336,-105,-13,-40,3,0,-1,-1.0,-1.0,1800,1566,34176,16:40:5,29524,431547.2083333333
38,22.317743,87.31161314,9.0,16:40:06,1.07,13,16:40:06,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,4868382,426854,0,0,4,-108,LTE,405,51,42,62289,2,336,-103,-13,-40,3,0,-1,-1.0,-1.0,1800,1566,23394,16:40:6,24082,113442.8125
