Index (sec),latitude,longitude,elevation,time_gps,speed,sat,sys_time,sim_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac,node_id,cid,psc_pci,rssi,rsrq,rssnr,slev,gps,accuracy,lat,long,band,arfcn,Network Throughput,Time tcp,Throughput tcp,Predicted Throughput
1,22.30996575,87.30591455,10.322000000000001,15:20:51,0.0,17,15:20:51,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,563703482,14187385,0,0,2,-96,LTE,405,51,42,60004,1,381,-91,-8,90,4,0,-1,-1.0,-1.0,1800,1566,178254,15:20:51,293022,281965.0
2,22.30996575,87.30591455,10.322000000000001,15:20:52,0.0,17,15:20:52,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,564677238,14203921,0,0,4,-94,LTE,405,51,42,60004,1,381,-96,-12,90,3,0,-1,-1.0,-1.0,1800,1566,772410,15:20:52,795438,593190.990625
3,22.30996575,87.30591455,10.322000000000001,15:20:53,0.0,17,15:20:53,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,565413078,14211777,0,0,4,-94,LTE,405,51,42,60004,1,381,-96,-12,90,3,0,-1,-1.0,-1.0,1800,1566,990292,15:20:53,1022940,593190.990625
4,22.30996575,87.30591455,10.322000000000001,15:20:54,0.0,17,15:20:54,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,566265558,14228861,0,0,4,-94,LTE,405,51,42,60004,1,381,-96,-12,90,3,0,-1,-1.0,-1.0,1800,1566,743696,15:20:54,796392,593190.990625
5,22.30996327,87.30592173,10.425999999999998,15:20:55,0.9129999999999999,17,15:20:55,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,566938038,14233593,0,0,2,-93,LTE,405,51,42,60004,1,381,-96,-12,90,3,0,-1,-1.0,-1.0,1800,1566,869564,15:20:55,812172,346414.375
6,22.30996049,87.3059325,10.540999999999999,15:20:56,0.7609999999999999,17,15:20:56,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,567573078,14253633,0,0,2,-93,LTE,405,51,42,60004,1,381,-96,-12,90,3,0,-1,-1.0,-1.0,1800,1566,677212,15:20:56,720248,157071.75
7,22.30996022,87.30594634,10.712,15:20:57,1.339,17,15:20:57,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,568251318,14271905,0,0,2,-93,LTE,405,51,42,60004,1,381,-96,-12,90,3,0,-1,-1.0,-1.0,1800,1566,655080,15:20:57,682968,205344.75
8,22.30995841,87.30596795,10.779000000000002,15:20:58,2.472,17,15:20:58,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,568445718,14275885,0,0,4,-95,LTE,405,51,42,62289,2,336,-98,-9,90,3,0,-1,-1.0,-1.0,1800,1566,696512,15:20:58,645340,511139.0
9,22.30995714,87.30599081,10.785,15:20:59,1.926,17,15:20:59,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,568625718,14285469,0,0,4,-95,LTE,405,51,42,62289,2,336,-98,-9,90,3,0,-1,-1.0,-1.0,1800,1566,198380,15:20:59,176112,120824.625
10,22.30995575,87.30601339,10.685,15:21:00,2.081,17,15:21:00,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,568789878,14291989,0,0,4,-95,LTE,405,51,42,62289,2,336,-98,-9,90,3,0,-1,-1.0,-1.0,1800,1566,189584,15:21:0,211352,291227.0
11,22.30995394,87.30603748,10.668,15:21:01,2.117,17,15:21:01,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,568905078,14298381,0,0,3,-97,LTE,405,51,42,62289,2,336,-97,-8,90,3,0,-1,-1.0,-1.0,1800,1566,170680,15:21:1,166048,399505.0
12,22.30995158,87.30606157,10.557,15:21:02,2.181,17,15:21:02,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,569089398,14304137,0,0,3,-97,LTE,405,51,42,62289,2,336,-97,-8,90,3,0,-1,-1.0,-1.0,1800,1566,121592,15:21:2,142752,377774.25
13,22.3099488,87.30608773,10.636,15:21:03,2.313,17,15:21:03,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,569214678,14310377,0,0,3,-97,LTE,405,51,42,62289,2,336,-97,-8,90,3,0,-1,-1.0,-1.0,1800,1566,190076,15:21:3,189148,406779.25
14,22.30994385,87.30611723,10.681,15:21:04,2.359,17,15:21:04,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,569400438,14319213,0,0,3,-100,LTE,405,51,42,62289,2,336,-97,-9,90,3,0,-1,-1.0,-1.0,1800,1566,131520,15:21:4,130428,443374.5
15,22.3099392,87.30614547,10.85,15:21:05,2.2680000000000002,17,15:21:05,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,569599158,14323009,0,0,3,-100,LTE,405,51,42,62289,2,336,-97,-9,90,3,0,-1,-1.0,-1.0,1800,1566,194596,15:21:5,201752,299269.8125
16,22.30993229,87.30617123,10.658,15:21:06,2.343,17,15:21:06,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,569721558,14326841,0,0,3,-100,LTE,405,51,42,62289,2,336,-97,-9,90,3,0,-1,-1.0,-1.0,1800,1566,202516,15:21:6,194216,335594.5
17,22.30992894,87.30619915,10.72,15:21:07,2.4,17,15:21:07,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,569799318,14330665,0,0,2,-98,LTE,405,51,42,62289,2,336,-99,-9,90,3,0,-1,-1.0,-1.0,1800,1566,126232,15:21:7,135080,366731.0
