Index (sec),latitude,longitude,elevation,time_gps,speed,sat,sys_time,sim_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac,node_id,cid,psc_pci,rssi,rsrq,rssnr,slev,gps,accuracy,lat,long,band,arfcn,Network Throughput,Time tcp,Throughput tcp,Predicted Throughput
1,22.31675455,87.30113283,-4.0,17:16:36,0.0,13,17:16:36,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,439184602,9926500,0,0,3,-105,LTE,405,51,42,60005,2,124,-96,-13,66,3,0,-1,-1.0,-1.0,1800,1566,0,17:16:36,404032,326518.0180021367
2,22.31675454,87.30113286,-4.0,17:16:37,0.0,14,17:16:37,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,439868002,9938772,0,0,3,-105,LTE,405,51,42,60005,2,124,-96,-13,66,3,0,-1,-1.0,-1.0,1800,1566,672736,17:16:37,703448,326518.0180021367
3,22.31675453,87.30113288,-4.0,17:16:38,0.0,14,17:16:38,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,440382622,9965122,0,0,3,-105,LTE,405,51,42,60005,2,124,-96,-13,66,3,0,-1,-1.0,-1.0,1800,1566,695672,17:16:38,688204,326518.0180021367
4,22.31675454,87.30113291,-4.0,17:16:39,0.0,14,17:16:39,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,440985674,9985258,0,0,5,-102,LTE,405,51,42,60005,2,124,-99,-14,66,3,0,-1,-1.0,-1.0,1800,1566,540970,17:16:39,586938,52561.0625
5,22.31675455,87.30113292,-4.0,17:16:40,0.0,14,17:16:40,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,441539094,9998362,0,0,5,-102,LTE,405,51,42,60005,2,124,-99,-14,66,3,0,-1,-1.0,-1.0,1800,1566,623188,17:16:40,612280,52561.0625
6,22.31675454,87.30113293,-4.0,17:16:41,0.0,14,17:16:41,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,442016134,10018370,0,0,5,-102,LTE,405,51,42,60005,2,124,-99,-14,66,3,0,-1,-1.0,-1.0,1800,1566,566524,17:16:41,572504,52561.0625
7,22.31675455,87.30113293,-4.0,17:16:42,0.0,14,17:16:42,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,442407414,10032634,0,0,2,-100,LTE,405,51,42,60005,2,124,-101,-14,66,3,0,-1,-1.0,-1.0,1800,1566,497048,17:16:42,529228,830680.7748241342
8,22.31675455,87.30113295,-4.0,17:16:43,0.0,14,17:16:43,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,442951454,10048026,0,0,2,-100,LTE,405,51,42,60005,2,124,-101,-14,66,3,0,-1,-1.0,-1.0,1800,1566,405544,17:16:43,432272,830680.7748241342
9,22.31675452,87.30113296,-4.0,17:16:44,0.0,14,17:16:44,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,443377574,10056294,0,0,2,-100,LTE,405,51,42,60005,2,124,-101,-14,66,3,0,-1,-1.0,-1.0,1800,1566,559432,17:16:44,532768,830680.7748241342
10,22.3167545,87.30113298,-4.0,17:16:45,0.0,14,17:16:45,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,443918934,10066850,0,0,2,-101,LTE,405,51,42,60005,2,124,-99,-14,66,3,0,-1,-1.0,-1.0,1800,1566,434388,17:16:45,487308,880033.7422596501
