Index (sec),latitude,longitude,elevation,time_gps,speed,sat,sys_time,sim_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac,node_id,cid,psc_pci,rssi,rsrq,rssnr,slev,gps,accuracy,lat,long,band,arfcn,Network Throughput,Time tcp,Throughput tcp,Predicted Throughput
1,22.31163999,87.30701472,-3.0,17:38:26,0.0,15,17:38:26,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,26847948,1563842,0,0,4,-111,LTE,405,51,42,62289,2,336,-106,-11,72,2,0,-1,-1.0,-1.0,1800,1566,15620,17:38:26,1472,104622.14010416665
2,22.31164,87.30701471,-3.0,17:38:27,0.0,15,17:38:27,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,27003440,1567846,0,0,4,-111,LTE,405,51,42,62289,2,336,-106,-11,72,2,0,-1,-1.0,-1.0,1800,1566,29914,17:38:27,39778,104622.14010416665
3,22.31164,87.30701471,-3.0,17:38:28,0.0,15,17:38:28,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,27097240,1572114,0,0,4,-111,LTE,405,51,42,62289,2,336,-106,-11,72,2,0,-1,-1.0,-1.0,1800,1566,159496,17:38:28,177296,104622.14010416665
4,22.31164001,87.30701469,-3.0,17:38:29,0.0,15,17:38:29,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,27165580,1576194,0,0,3,-111,LTE,405,51,42,62289,2,336,-103,-10,72,3,0,-1,-1.0,-1.0,1800,1566,98068,17:38:29,108092,240752.1666666667
5,22.31164002,87.30701468,-3.0,17:38:30,0.0,15,17:38:30,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,27276800,1581942,0,0,3,-111,LTE,405,51,42,62289,2,336,-103,-10,72,3,0,-1,-1.0,-1.0,1800,1566,72420,17:38:30,57408,240752.1666666667
6,22.31164036,87.30701152,-3.0,17:38:31,0.46,15,17:38:31,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,27349160,1585546,0,0,3,-111,LTE,405,51,42,62289,2,336,-103,-10,72,3,0,-1,-1.0,-1.0,1800,1566,116968,17:38:31,113760,240752.1666666667
7,22.31164195,87.30700454,-4.0,17:38:32,0.8,15,17:38:32,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,27531400,1589486,0,0,4,-110,LTE,405,51,42,62289,2,336,-107,-9,72,2,0,-1,-1.0,-1.0,1800,1566,75964,17:38:32,88648,126559.01041666666
8,22.3116457,87.30699401,-4.0,17:38:33,1.15,15,17:38:33,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,27626540,1591358,0,0,4,-110,LTE,405,51,42,62289,2,336,-107,-9,72,2,0,-1,-1.0,-1.0,1800,1566,186180,17:38:33,203992,72495.71875
9,22.31164913,87.30698228,-4.0,17:38:34,1.14,15,17:38:34,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,27744460,1593750,0,0,4,-110,LTE,405,51,42,62289,2,336,-107,-9,72,2,0,-1,-1.0,-1.0,1800,1566,97012,17:38:34,91300,75413.6875
10,22.31165469,87.30696697,-4.0,17:38:35,1.52,16,17:38:35,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,27917320,1597182,0,0,5,-114,LTE,405,51,42,62289,2,336,-106,-8,72,2,0,-1,-1.0,-1.0,1800,1566,120312,17:38:35,150428,80726.46875
11,22.31165975,87.30695051,-3.0,17:38:36,1.48,16,17:38:36,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,27980300,1599338,0,0,5,-114,LTE,405,51,42,62289,2,336,-106,-8,72,2,0,-1,-1.0,-1.0,1800,1566,176292,17:38:36,143368,77122.59375
