Index (sec),latitude,longitude,elevation,time_gps,speed,sat,sys_time,sim_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac,node_id,cid,psc_pci,rssi,rsrq,rssnr,slev,gps,accuracy,lat,long,band,arfcn,Network Throughput,Time tcp,Throughput tcp,Predicted Throughput
1,22.31213499,87.30510162,-1.0,17:17:54,0.0,14,17:17:54,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1064045677,26115832,0,0,3,-108,LTE,405,51,42,62289,2,336,-103,-7,82,3,0,-1,-1.0,-1.0,1800,1566,70188,17:17:54,85700,225077.98125
2,22.31213337,87.30510282,-3.0,17:17:55,0.0,12,17:17:55,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1064065837,26116560,0,0,3,-105,LTE,405,51,42,62289,2,336,-102,-8,82,3,0,-1,-1.0,-1.0,1800,1566,123360,17:17:55,108696,60922.16875
3,22.31213477,87.30510263,1.0,17:17:56,0.57,13,17:17:56,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1064130697,26119098,0,0,3,-105,LTE,405,51,42,62289,2,336,-102,-8,82,3,0,-1,-1.0,-1.0,1800,1566,20888,17:17:56,18528,157820.28125
4,22.31213262,87.30510822,0.0,17:17:57,0.55,12,17:17:57,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1064335177,26129598,0,0,3,-105,LTE,405,51,42,62289,2,336,-102,-8,82,3,0,-1,-1.0,-1.0,1800,1566,67398,17:17:57,82170,157820.28125
5,22.31213313,87.30511941,-2.0,17:17:58,0.87,11,17:17:58,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1064531017,26137386,0,0,5,-106,LTE,405,51,42,62289,2,336,-99,-7,82,3,0,-1,-1.0,-1.0,1800,1566,214980,17:17:58,247740,46361.375
6,22.31212857,87.30513257,-2.0,17:17:59,1.16,12,17:17:59,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1064755657,26141442,0,0,5,-106,LTE,405,51,42,62289,2,336,-99,-7,82,3,0,-1,-1.0,-1.0,1800,1566,203628,17:17:59,199960,63476.375
7,22.31212413,87.3051442,-4.0,17:18:00,0.99,12,17:18:00,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1064984617,26152734,0,0,5,-106,LTE,405,51,42,62289,2,336,-99,-7,82,3,0,-1,-1.0,-1.0,1800,1566,228696,17:18:0,255268,38371.6875
8,22.31211734,87.30515511,-1.0,17:18:01,1.03,12,17:18:01,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1065164721,26160978,0,0,4,-104,LTE,405,51,42,62289,2,336,-98,-8,82,3,0,-1,-1.0,-1.0,1800,1566,240252,17:18:1,217780,163767.125
9,22.31211224,87.3051643,-2.0,17:18:02,0.67,13,17:18:02,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1065281625,26166108,0,0,4,-104,LTE,405,51,42,62289,2,336,-98,-8,82,3,0,-1,-1.0,-1.0,1800,1566,188348,17:18:2,191852,283276.125
10,22.31211039,87.30517334,-2.0,17:18:03,0.66,12,17:18:03,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1065417141,26171280,0,0,4,-104,LTE,405,51,42,62289,2,336,-98,-8,82,3,0,-1,-1.0,-1.0,1800,1566,122034,17:18:3,116994,283276.125
