Index (sec),latitude,longitude,elevation,time_gps,speed,sat,sys_time,sim_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac,node_id,cid,psc_pci,rssi,rsrq,rssnr,slev,gps,accuracy,lat,long,band,arfcn,Network Throughput,Time tcp,Throughput tcp,Predicted Throughput
1,22.31251069,87.31030288,-1,17:24:22,0.0,13,17:24:22,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20842357,1303300,1,0,0,-103,GSM,405,51,8317,2147483647,12611,2147483647,-107,2147483647,2147483647,1,0,-1,-1,-1,900,9,12208,17:24:22,11068,776447.6831272894
2,22.31251201,87.31030218,-1,17:24:23,0.0,13,17:24:23,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20855857,1303796,1,0,0,-103,GSM,405,51,8317,2147483647,12611,2147483647,-107,2147483647,2147483647,1,0,-1,-1,-1,900,9,6156,17:24:23,9384,776447.6831272894
3,22.31251208,87.31030267,-1,17:24:24,0.0,13,17:24:24,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20858857,1303984,2,0,0,-103,GSM,405,51,8317,2147483647,12611,2147483647,-105,2147483647,2147483647,1,0,-1,-1,-1,900,9,13996,17:24:24,12924,776447.6831272894
4,22.312511100000002,87.31030297,-1,17:24:25,0.0,13,17:24:25,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20871453,1304568,2,0,0,-103,GSM,405,51,8317,2147483647,12611,2147483647,-105,2147483647,2147483647,1,0,-1,-1,-1,900,9,3188,17:24:25,1704,776447.6831272894
5,22.31250951,87.31030329999999,-1,17:24:26,0.0,13,17:24:26,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20872953,1304692,1,0,0,-103,GSM,405,51,8317,2147483647,12611,2147483647,-103,2147483647,2147483647,2,0,-1,-1,-1,900,9,13180,17:24:26,13648,776447.6831272894
6,22.31250858,87.31030343,-1,17:24:27,0.0,14,17:24:27,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20882909,1305164,1,0,0,-103,GSM,405,51,8317,2147483647,12611,2147483647,-103,2147483647,2147483647,2,0,-1,-1,-1,900,9,1624,17:24:27,1704,776447.6831272894
7,22.31250802,87.31030353,-1,17:24:28,0.0,14,17:24:28,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20887409,1305380,1,0,0,-103,GSM,405,51,8317,2147483647,12611,2147483647,-103,2147483647,2147483647,2,0,-1,-1,-1,900,9,10428,17:24:28,10792,776447.6831272894
8,22.31250771,87.3103036,-1,17:24:29,0.0,14,17:24:29,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20887409,1305380,1,0,0,-103,GSM,405,51,8317,2147483647,12611,2147483647,-103,2147483647,2147483647,2,0,-1,-1,-1,900,9,4716,17:24:29,4872,776447.6831272894
9,22.31250673,87.31030151,-1,17:24:30,0.4,14,17:24:30,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20890409,1305584,1,0,0,-103,GSM,405,51,8317,2147483647,12611,2147483647,-103,2147483647,2147483647,2,0,-1,-1,-1,900,9,0,17:24:30,0,776447.6831272894
10,22.31250614,87.31029558,-1,17:24:31,0.6,14,17:24:31,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20901805,1306582,1,0,0,-103,GSM,405,51,8317,2147483647,12611,2147483647,-103,2147483647,2147483647,2,0,-1,-1,-1,900,9,3204,17:24:31,3336,771951.7583333334
11,22.31250558,87.31028806,-1,17:24:32,0.7,14,17:24:32,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,NONE,20901805,1306582,1,0,0,-105,GSM,405,51,8317,2147483647,12611,2147483647,-101,2147483647,2147483647,2,0,-1,-1,-1,900,9,12394,17:24:32,13098,3163.75
12,22.31250462,87.3102796,-1,17:24:33,0.79,14,17:24:33,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,NONE,20901805,1306582,1,0,0,-105,GSM,405,51,8317,2147483647,12611,2147483647,-101,2147483647,2147483647,2,0,-1,-1,-1,900,9,0,17:24:33,0,3163.75
13,22.31250373,87.31027029,-1,17:24:34,0.88,14,17:24:34,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20907805,1306838,1,0,0,-105,GSM,405,51,8317,2147483647,12611,2147483647,-101,2147483647,2147483647,2,0,-1,-1,-1,900,9,0,17:24:34,3232,409452.0089285714
14,22.312503,87.31026129,-1,17:24:35,0.85,14,17:24:35,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20925313,1307510,2,0,0,-107,GSM,405,51,8317,2147483647,12611,2147483647,-101,2147483647,2147483647,2,0,-1,-1,-1,900,9,6256,17:24:35,3232,606046.7797619047
15,22.31250211,87.31025151,-1,17:24:36,0.97,15,17:24:36,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20932813,1307718,2,0,0,-107,GSM,405,51,8317,2147483647,12611,2147483647,-101,2147483647,2147483647,2,0,-1,-1,-1,900,9,18180,17:24:36,18828,624453.6547619047
16,22.31250175,87.31024147,-1,17:24:37,1.02,15,17:24:37,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20944813,1307822,2,0,0,-107,GSM,405,51,8317,2147483647,12611,2147483647,-101,2147483647,2147483647,2,0,-1,-1,-1,900,9,7708,17:24:37,7940,620454.6235119047
17,22.3125012,87.31023222,-1,17:24:38,0.99,15,17:24:38,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20958313,1308258,2,0,0,-107,GSM,405,51,8317,2147483647,12611,2147483647,-99,2147483647,2147483647,2,0,-1,-1,-1,900,9,12104,17:24:38,12352,620454.6235119047
18,22.31250001,87.31022334,-1,17:24:39,0.99,15,17:24:39,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20968813,1308738,2,0,0,-107,GSM,405,51,8317,2147483647,12611,2147483647,-99,2147483647,2147483647,2,0,-1,-1,-1,900,9,13936,17:24:39,14348,620454.6235119047
19,22.31249739,87.31021468,-1,17:24:40,0.97,15,17:24:40,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20974813,1309026,2,0,0,-107,GSM,405,51,8317,2147483647,12611,2147483647,-99,2147483647,2147483647,2,0,-1,-1,-1,900,9,10980,17:24:40,12968,624453.6547619047
20,22.31249447,87.31020572,-1,17:24:41,1.11,15,17:24:41,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20986813,1309602,1,0,0,-107,GSM,405,51,8317,2147483647,12611,2147483647,-101,2147483647,2147483647,2,0,-1,-1,-1,900,9,6288,17:24:41,9744,662379.4985119047
21,22.31249151,87.31019554,-1,17:24:42,1.22,15,17:24:42,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,20992813,1309890,1,0,0,-107,GSM,405,51,8317,2147483647,12611,2147483647,-101,2147483647,2147483647,2,0,-1,-1,-1,900,9,12576,17:24:42,11368,602069.1145833333
22,22.31248894,87.31018468,-1,17:24:43,1.25,15,17:24:43,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,21009313,1310682,1,0,0,-107,GSM,405,51,8317,2147483647,12611,2147483647,-101,2147483647,2147483647,2,0,-1,-1,-1,900,9,6288,17:24:43,6496,602069.1145833333
23,22.31248718,87.31017263,-1,17:24:44,1.36,14,17:24:44,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,21013813,1310890,1,0,0,-107,GSM,405,51,8317,2147483647,12611,2147483647,-99,2147483647,2147483647,2,0,-1,-1,-1,900,9,17292,17:24:44,14616,490049.78125
24,22.3124855,87.31015874,-1,17:24:45,1.46,14,17:24:45,READY,airtel,40551,0,EDGE,IDLE,CONNECTED,INOUT,21015313,1310942,1,0,0,-107,GSM,405,51,8317,2147483647,12611,2147483647,-99,2147483647,2147483647,2,0,-1,-1,-1,900,9,4708,17:24:45,4864,478579.875
