Index (sec),latitude,longitude,elevation,time_gps,speed,sat,sys_time,sim_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac,node_id,cid,psc_pci,rssi,rsrq,rssnr,slev,gps,accuracy,lat,long,band,arfcn,Network Throughput,Time tcp,Throughput tcp,Predicted Throughput
1,22.3210776,87.30726466,-3.0,18:6:49,0.0,15,18:06:49,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,635250577,12647972,0,0,2,-109,LTE,405,51,43,60023,2,202,-97,-11,144,3,0,-1,-1.0,-1.0,1800,1566,0,18:6:49,790412,554839.756547619
2,22.32107755,87.30726465,-3.0,18:6:50,0.0,14,18:06:50,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,636566457,12673452,0,0,2,-112,LTE,405,51,43,60023,2,202,-94,-11,144,4,0,-1,-1.0,-1.0,1800,1566,1305948,18:6:50,1432080,880033.7422596501
3,22.32107751,87.30726465,-3.0,18:6:51,0.0,14,18:06:51,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,637567437,12692960,0,0,2,-112,LTE,405,51,43,60023,2,202,-94,-11,144,4,0,-1,-1.0,-1.0,1800,1566,1341360,18:6:51,1330992,880033.7422596501
4,22.32107747,87.30726464,-3.0,18:6:52,0.0,15,18:06:52,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,638922289,12721298,0,0,2,-112,LTE,405,51,43,60023,2,202,-94,-11,144,4,0,-1,-1.0,-1.0,1800,1566,1020488,18:6:52,1102268,880033.7422596501
5,22.32107742,87.30726464,-3.0,18:6:53,0.0,15,18:06:53,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,640101489,12746726,0,0,0,-108,LTE,405,51,43,60023,2,202,-91,-11,144,4,0,-1,-1.0,-1.0,1800,1566,1383190,18:6:53,1385690,583146.75
6,22.32107734,87.30726467,-3.0,18:6:54,0.0,15,18:06:54,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,641449529,12772622,0,0,0,-106,LTE,405,51,43,60023,2,202,-91,-11,144,4,0,-1,-1.0,-1.0,1800,1566,1204628,18:6:54,1231420,1564229.625
7,22.32107534,87.3072729,-3.0,18:6:55,0.88,15,18:06:55,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,642380829,12803562,0,0,0,-112,LTE,405,51,43,60023,2,202,-91,-11,144,4,0,-1,-1.0,-1.0,1800,1566,1373936,18:6:55,1381216,1205800.8125
8,22.32107195,87.30728552,-3.0,18:6:56,1.12,16,18:06:56,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,643912449,12833410,0,0,0,-105,LTE,405,51,43,60023,2,202,-88,-11,144,4,0,-1,-1.0,-1.0,1800,1566,962240,18:6:56,1065676,400334.125
9,22.32106883,87.30730029,-2.0,18:6:57,1.4,16,18:06:57,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,645362329,12861490,0,0,0,-111,LTE,405,51,43,60023,2,202,-88,-11,144,4,0,-1,-1.0,-1.0,1800,1566,1561468,18:6:57,1585396,511745.9375
10,22.32106411,87.30731634,-2.0,18:6:58,1.43,16,18:06:58,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,646964969,12892378,0,0,0,-110,LTE,405,51,43,60023,2,202,-88,-11,144,4,0,-1,-1.0,-1.0,1800,1566,1477960,18:6:58,1576572,467947.0625
11,22.32105818,87.30733318,-2.0,18:6:59,1.6,16,18:06:59,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,648099949,12914270,0,0,1,-104,LTE,405,51,43,60023,2,202,-89,-11,144,4,0,-1,-1.0,-1.0,1800,1566,1633528,18:6:59,1636744,397067.0
12,22.3210529,87.30735027,-2.0,18:7:00,1.56,16,18:07:00,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,649536429,12941674,0,0,1,-104,LTE,405,51,43,60023,2,202,-89,-11,144,4,0,-1,-1.0,-1.0,1800,1566,1156872,18:7:0,1193160,401744.8125
13,22.32105156,87.30736642,-2.0,18:7:01,1.63,16,18:07:01,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,650809429,13003150,0,0,1,-104,LTE,405,51,43,60023,2,202,-89,-11,144,4,0,-1,-1.0,-1.0,1800,1566,1463884,18:7:1,1452460,399435.75
14,22.3210505,87.3073842,-2.0,18:7:02,1.87,16,18:07:02,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,651815769,13031290,0,0,1,-108,LTE,405,51,43,60023,2,202,-89,-10,144,4,0,-1,-1.0,-1.0,1800,1566,1334476,18:7:2,1398600,575115.125
15,22.32105063,87.30740427,-2.0,18:7:03,1.8,16,18:07:03,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,652433509,13066186,0,0,1,-108,LTE,405,51,43,60023,2,202,-89,-10,144,4,0,-1,-1.0,-1.0,1800,1566,1034480,18:7:3,973952,696119.71875
16,22.3210528,87.30742451,-1.0,18:7:04,1.87,16,18:07:04,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,652990949,13095950,0,0,1,-108,LTE,405,51,43,60023,2,202,-89,-10,144,4,0,-1,-1.0,-1.0,1800,1566,652636,18:7:4,738760,575115.125
17,22.32105522,87.30744599,-1.0,18:7:05,1.91,16,18:07:05,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,653735989,13124986,0,0,0,-110,LTE,405,51,43,60023,2,202,-81,-11,144,4,0,-1,-1.0,-1.0,1800,1566,587204,18:7:5,618692,259969.84375
18,22.32105874,87.30746785,-1.0,18:7:06,2.1,16,18:07:06,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,654143349,13132890,0,0,0,-102,LTE,405,51,43,60023,2,202,-81,-11,144,4,0,-1,-1.0,-1.0,1800,1566,774076,18:7:6,739404,648302.3472222222
19,22.3210619,87.30748848,-1.0,18:7:07,1.8,16,18:07:07,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,654730269,13144278,0,0,0,-110,LTE,405,51,43,60023,2,202,-81,-11,144,4,0,-1,-1.0,-1.0,1800,1566,415264,18:7:7,411492,633264.5
20,22.32106469,87.30750509,-1.0,18:7:08,1.47,16,18:07:08,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,655546329,13160138,0,0,0,-107,LTE,405,51,43,60023,2,202,-83,-11,144,4,0,-1,-1.0,-1.0,1800,1566,598308,18:7:8,626184,708394.375
21,22.32106807,87.30752334,-1.0,18:7:09,1.98,16,18:07:09,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,656398569,13176674,0,0,0,-108,LTE,405,51,43,60023,2,202,-83,-11,144,4,0,-1,-1.0,-1.0,1800,1566,831920,18:7:9,967396,387018.8020833333
22,22.32107104,87.30754546,-2.0,18:7:10,2.17,16,18:07:10,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,656910449,13186694,0,0,0,-102,LTE,405,51,43,60023,2,202,-83,-11,144,4,0,-1,-1.0,-1.0,1800,1566,868776,18:7:10,836784,320119.89930555556
23,22.32107477,87.3075681,-2.0,18:7:11,2.16,16,18:07:11,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,658105729,13218750,0,0,0,-102,LTE,405,51,43,60023,2,202,-85,-10,144,4,0,-1,-1.0,-1.0,1800,1566,521900,18:7:11,515604,312961.68055555556
