Index (sec),latitude,longitude,elevation,time_gps,speed,sat,sys_time,sim_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac,node_id,cid,psc_pci,rssi,rsrq,rssnr,slev,gps,accuracy,lat,long,band,arfcn,Network Throughput,Time tcp,Throughput tcp,Predicted Throughput
1,22.31962307,87.30569172,-3.252,15:3:24,0.0,16,15:03:24,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,348287906,9095783,0,0,1,-107,LTE,405,51,43,60023,2,202,-102,-13,44,3,0,-1,-1.0,-1.0,1800,1566,223404,15:3:24,243132,507061.5
2,22.31962307,87.30569172,-3.252,15:3:25,0.0,17,15:03:25,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,349020866,9109043,0,0,1,-107,LTE,405,51,43,60023,2,202,-102,-13,44,3,0,-1,-1.0,-1.0,1800,1566,696636,15:3:25,798584,507061.5
3,22.31962307,87.30569172,-3.252,15:3:26,0.0,17,15:03:26,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,349722146,9121679,0,0,1,-105,LTE,405,51,43,60023,2,202,-95,-12,44,4,0,-1,-1.0,-1.0,1800,1566,746220,15:3:26,697936,469666.725
4,22.31962307,87.30569172,-3.252,15:3:27,0.0,17,15:03:27,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,350046146,9127555,0,0,1,-105,LTE,405,51,43,60023,2,202,-95,-12,44,4,0,-1,-1.0,-1.0,1800,1566,713916,15:3:27,693304,469666.725
5,22.31962307,87.30569172,-3.252,15:3:28,0.0,17,15:03:28,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,350460866,9135043,0,0,1,-105,LTE,405,51,43,60023,2,202,-95,-12,44,4,0,-1,-1.0,-1.0,1800,1566,329876,15:3:28,377544,469666.725
6,22.31962307,87.30569172,-3.252,15:3:29,0.0,17,15:03:29,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,350819426,9141491,0,0,2,-105,LTE,405,51,43,60023,2,202,-99,-12,44,3,0,-1,-1.0,-1.0,1800,1566,422208,15:3:29,418112,719894.1130208333
7,22.31962307,87.30569172,-3.341,15:3:30,0.0,17,15:03:30,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,351182306,9148043,0,0,2,-105,LTE,405,51,43,60023,2,202,-99,-12,44,3,0,-1,-1.0,-1.0,1800,1566,365008,15:3:30,400064,719894.1130208333
8,22.31962307,87.30569172,-3.083,15:3:31,0.0,17,15:03:31,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,351539426,9154491,0,0,2,-105,LTE,405,51,43,60023,2,202,-99,-12,44,3,0,-1,-1.0,-1.0,1800,1566,369432,15:3:31,342912,719894.1130208333
9,22.31962307,87.30569172,-2.707,15:3:32,0.0,17,15:03:32,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,351889346,9161379,0,0,2,-105,LTE,405,51,43,60023,2,202,-97,-11,44,3,0,-1,-1.0,-1.0,1800,1566,363568,15:3:32,407544,719894.1130208333
10,22.31962307,87.30569172,-2.4219999999999997,15:3:33,0.0,17,15:03:33,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,352116866,9172667,0,0,2,-105,LTE,405,51,43,60023,2,202,-97,-11,44,3,0,-1,-1.0,-1.0,1800,1566,356808,15:3:33,340220,719894.1130208333
11,22.31962307,87.30569172,-2.315,15:3:34,0.0,17,15:03:34,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,352642466,9185887,0,0,2,-105,LTE,405,51,43,60023,2,202,-97,-11,44,3,0,-1,-1.0,-1.0,1800,1566,238808,15:3:34,261492,719894.1130208333
12,22.31962307,87.30569172,-2.219,15:3:35,0.0,17,15:03:35,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,353201186,9195975,0,0,2,-103,LTE,405,51,43,60023,2,202,-96,-12,44,3,0,-1,-1.0,-1.0,1800,1566,538820,15:3:35,583436,727116.0418402778
13,22.31962307,87.30569172,-2.043,15:3:36,0.0,17,15:03:36,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,353693666,9204867,0,0,2,-103,LTE,405,51,43,60023,2,202,-96,-12,44,3,0,-1,-1.0,-1.0,1800,1566,568808,15:3:36,568512,727116.0418402778
14,22.31962307,87.30569172,-1.932,15:3:37,0.0,17,15:03:37,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,354249506,9214903,0,0,2,-103,LTE,405,51,43,60023,2,202,-96,-12,44,3,0,-1,-1.0,-1.0,1800,1566,501372,15:3:37,512824,727116.0418402778
15,22.31962307,87.30569172,-1.8319999999999999,15:3:38,0.0,17,15:03:38,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,354873138,9226445,0,0,2,-105,LTE,405,51,43,60023,2,202,-94,-11,44,4,0,-1,-1.0,-1.0,1800,1566,565876,15:3:38,583552,719894.1130208333
16,22.31962307,87.30569172,-1.683,15:3:39,0.0,17,15:03:39,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,355328178,9235493,0,0,2,-105,LTE,405,51,43,60023,2,202,-94,-11,44,4,0,-1,-1.0,-1.0,1800,1566,635174,15:3:39,669926,719894.1130208333
17,22.31962307,87.30569172,-1.311,15:3:40,0.0,17,15:03:40,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,355689618,9243657,0,0,2,-105,LTE,405,51,43,60023,2,202,-94,-11,44,4,0,-1,-1.0,-1.0,1800,1566,464088,15:3:40,437576,719894.1130208333
18,22.31962307,87.30569172,-0.852,15:3:41,0.0,17,15:03:41,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,356102898,9256661,0,0,3,-105,LTE,405,51,43,60023,2,202,-100,-12,44,3,0,-1,-1.0,-1.0,1800,1566,369604,15:3:41,382872,204654.375
19,22.31962307,87.30569172,-0.445,15:3:42,0.0,17,15:03:42,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,356559378,9264929,0,0,3,-105,LTE,405,51,43,60023,2,202,-100,-12,44,3,0,-1,-1.0,-1.0,1800,1566,426284,15:3:42,487488,204654.375
20,22.31962307,87.30569172,-0.196,15:3:43,0.0,17,15:03:43,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,356752338,9271033,0,0,3,-105,LTE,405,51,43,60023,2,202,-100,-12,44,3,0,-1,-1.0,-1.0,1800,1566,464748,15:3:43,419656,204654.375
21,22.31948833,87.30549205,0.154,15:3:44,2.258,17,15:03:44,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,357038898,9282413,0,0,2,-104,LTE,405,51,43,60023,2,202,-104,-14,44,3,0,-1,-1.0,-1.0,1800,1566,199064,15:3:44,215896,238889.42708333334
22,22.31948266,87.30546612,0.489,15:3:45,2.2030000000000003,17,15:03:45,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,357342738,9287977,0,0,2,-104,LTE,405,51,43,60023,2,202,-104,-14,44,3,0,-1,-1.0,-1.0,1800,1566,297940,15:3:45,303916,213867.640625
23,22.31947662,87.3054421,0.79,15:3:46,2.217,17,15:03:46,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,357565916,9292494,0,0,2,-104,LTE,405,51,43,60023,2,202,-104,-14,44,3,0,-1,-1.0,-1.0,1800,1566,309404,15:3:46,314376,192649.171875
24,22.31947077,87.30541701,1.187,15:3:47,2.3680000000000003,17,15:03:47,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,357730422,9296922,0,0,4,-101,LTE,405,51,43,60023,2,202,-102,-13,44,3,0,-1,-1.0,-1.0,1800,1566,227695,15:3:47,232429,360705.375
25,22.31946538,87.3053905,1.47,15:3:48,2.511,17,15:03:48,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,357933816,9308383,0,0,4,-101,LTE,405,51,43,60023,2,202,-102,-13,44,3,0,-1,-1.0,-1.0,1800,1566,168934,15:3:48,167611,134502.75
26,22.31946048,87.30536136,1.713,15:3:49,2.79,17,15:03:49,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,358112815,9312130,0,0,4,-101,LTE,405,51,43,60023,2,202,-102,-13,44,3,0,-1,-1.0,-1.0,1800,1566,214855,15:3:49,238646,189891.96875
27,22.31945701,87.30532906,1.386,15:3:50,2.781,17,15:03:50,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,358202095,9316558,0,0,5,-101,LTE,405,51,43,60023,2,202,-105,-14,44,3,0,-1,-1.0,-1.0,1800,1566,182746,15:3:50,150639,146445.4375
28,22.31945263,87.30529713,1.368,15:3:51,2.7030000000000003,17,15:03:51,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,358292815,9320730,0,0,5,-101,LTE,405,51,43,60023,2,202,-105,-14,44,3,0,-1,-1.0,-1.0,1800,1566,93708,15:3:51,112852,247549.125
29,22.31944661,87.30526417,1.5959999999999999,15:3:52,2.804,17,15:03:52,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,358359055,9324042,0,0,5,-101,LTE,405,51,43,60023,2,202,-105,-14,44,3,0,-1,-1.0,-1.0,1800,1566,94892,15:3:52,80800,41689.8125
30,22.31943953,87.30523483,1.641,15:3:53,2.633,17,15:03:53,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,358405135,9326178,0,0,6,-102,LTE,405,51,43,60023,2,202,-104,-15,44,3,0,-1,-1.0,-1.0,1800,1566,69552,15:3:53,67192,132606.5
31,22.31943292,87.30520655,1.791,15:3:54,2.61,17,15:03:54,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,358471375,9327982,0,0,6,-102,LTE,405,51,43,60023,2,202,-104,-15,44,3,0,-1,-1.0,-1.0,1800,1566,48216,15:3:54,53004,205403.125
32,22.31942791,87.30517637,2.2,15:3:55,2.995,17,15:03:55,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,358585135,9330114,0,0,6,-102,LTE,405,51,43,60023,2,202,-104,-15,44,3,0,-1,-1.0,-1.0,1800,1566,68044,15:3:55,86408,78509.95833333333
33,22.31942318,87.30514407,2.336,15:3:56,2.995,17,15:03:56,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,358648495,9331362,0,0,5,-102,LTE,405,51,43,60023,2,202,-105,-15,44,3,0,-1,-1.0,-1.0,1800,1566,115892,15:3:56,97960,77322.75
34,22.31942077,87.30511061,2.505,15:3:57,2.927,16,15:03:57,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,358770895,9333702,0,0,5,-102,LTE,405,51,43,60023,2,202,-105,-15,44,3,0,-1,-1.0,-1.0,1800,1566,64608,15:3:57,73736,51282.4375
