Index (sec),latitude,longitude,elevation,time_gps,speed,sat,sys_time,sim_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac,node_id,cid,psc_pci,rssi,rsrq,rssnr,slev,gps,accuracy,lat,long,band,arfcn,Network Throughput,Time tcp,Throughput tcp,Predicted Throughput
1,22.3211016,87.30691542,-10.0,16:60:21,1.65,14,17:00:21,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,849619172,20918996,0,0,2,-103,LTE,405,51,43,60023,2,202,-88,-11,86,4,0,-1,-1.0,-1.0,1800,1566,358126,17:0:21,361234,201701.125
2,22.32110082,87.306896,-10.0,16:60:22,1.61,14,17:00:22,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,849997892,20930268,0,0,1,-104,LTE,405,51,43,60023,2,202,-87,-11,86,4,0,-1,-1.0,-1.0,1800,1566,241384,17:0:22,262948,154374.5625
3,22.32109993,87.30687807,-10.0,16:60:23,1.45,12,17:00:23,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,850241252,20935260,0,0,1,-104,LTE,405,51,43,60023,2,202,-87,-11,86,4,0,-1,-1.0,-1.0,1800,1566,389992,17:0:23,378808,176378.6875
4,22.32109816,87.30686098,-11.0,16:60:24,1.42,14,17:00:24,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,850463012,20941832,0,0,1,-104,LTE,405,51,43,60023,2,202,-87,-11,86,4,0,-1,-1.0,-1.0,1800,1566,248352,17:0:24,263960,391352.5625
5,22.3210945,87.30684474,-10.0,16:60:25,1.56,12,17:00:25,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,850628612,20948220,0,0,1,-106,LTE,405,51,43,60023,2,202,-89,-11,86,4,0,-1,-1.0,-1.0,1800,1566,228332,17:0:25,228808,592338.125
6,22.32108934,87.30683001,-10.0,16:60:26,1.27,13,17:00:26,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,850798532,20955152,0,0,1,-106,LTE,405,51,43,60023,2,202,-89,-11,86,4,0,-1,-1.0,-1.0,1800,1566,171988,17:0:26,165800,625424.9125
7,22.32108451,87.30681566,-9.0,16:60:27,1.47,13,17:00:27,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,850939652,20960496,0,0,1,-106,LTE,405,51,43,60023,2,202,-89,-11,86,4,0,-1,-1.0,-1.0,1800,1566,176852,17:0:27,191028,573222.1
8,22.32107871,87.30680285,-9.0,16:60:28,1.12,11,17:00:28,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,851134052,20964740,0,0,0,-108,LTE,405,51,43,60023,2,202,-87,-11,86,4,0,-1,-1.0,-1.0,1800,1566,146464,17:0:28,163024,1105404.85
9,22.3210721,87.30678834,-8.0,16:60:29,1.57,15,17:00:29,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,851275172,20967288,0,0,0,-102,LTE,405,51,43,60023,2,202,-87,-11,86,4,0,-1,-1.0,-1.0,1800,1566,198644,17:0:29,194296,215482.55
10,22.32106442,87.30677102,-7.0,16:60:30,1.69,15,17:00:30,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,851449412,20970408,0,0,0,-106,LTE,405,51,43,60023,2,202,-87,-11,86,4,0,-1,-1.0,-1.0,1800,1566,143668,17:0:30,145928,926170.875
11,22.32105701,87.30675285,-6.0,16:60:31,1.81,9,17:00:31,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,851586212,20972904,0,0,1,-103,LTE,405,51,43,60023,2,202,-90,-11,86,4,0,-1,-1.0,-1.0,1800,1566,177360,17:0:31,172920,343085.2375
12,22.32105232,87.30673468,-6.0,16:60:32,1.65,14,17:00:32,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,851702852,20976176,0,0,1,-103,LTE,405,51,43,60023,2,202,-90,-11,86,4,0,-1,-1.0,-1.0,1800,1566,139296,17:0:32,139912,282514.3125
13,22.32104808,87.30671752,-5.0,16:60:33,1.72,11,17:00:33,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,851846852,20981280,0,0,1,-103,LTE,405,51,43,60023,2,202,-90,-11,86,4,0,-1,-1.0,-1.0,1800,1566,119912,17:0:33,131812,534374.6666666666
14,22.32104434,87.30669521,-5.0,16:60:34,2.14,13,17:00:34,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,851970692,20984648,0,0,1,-105,LTE,405,51,43,60023,2,202,-87,-11,86,4,0,-1,-1.0,-1.0,1800,1566,149104,17:0:34,145440,616505.875
15,22.32104119,87.3066733,-5.0,16:60:35,1.82,13,17:00:35,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,852080132,20986884,0,0,1,-105,LTE,405,51,43,60023,2,202,-87,-11,86,4,0,-1,-1.0,-1.0,1800,1566,127208,17:0:35,127996,351199.875
16,22.3210374,87.30665367,-5.0,16:60:36,1.82,13,17:00:36,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,852202532,20990368,0,0,1,-105,LTE,405,51,43,60023,2,202,-87,-11,86,4,0,-1,-1.0,-1.0,1800,1566,111676,17:0:36,120848,351199.875
17,22.3210338,87.30663178,-5.0,16:60:37,1.87,12,17:00:37,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,852291812,20992520,0,0,0,-108,LTE,405,51,43,60023,2,202,-89,-10,86,4,0,-1,-1.0,-1.0,1800,1566,125884,17:0:37,125080,866764.5
18,22.32103092,87.30661022,-5.0,16:60:38,1.98,12,17:00:38,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,852401252,20997328,0,0,0,-108,LTE,405,51,43,60023,2,202,-89,-10,86,4,0,-1,-1.0,-1.0,1800,1566,91432,17:0:38,97368,1059056.0916666668
19,22.32102346,87.30658428,-2.0,16:60:39,3.1,13,17:00:39,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,852500612,20999304,0,0,0,-104,LTE,405,51,43,60023,2,202,-89,-10,86,4,0,-1,-1.0,-1.0,1800,1566,114248,17:0:39,114632,613505.125
20,22.32101378,87.30656125,-3.0,16:60:40,2.17,10,17:00:40,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,852627332,21001696,0,0,0,-107,LTE,405,51,43,60023,2,202,-86,-11,86,4,0,-1,-1.0,-1.0,1800,1566,101336,17:0:40,102592,472690.5
21,22.3210072,87.30654319,-4.0,16:60:41,1.85,12,17:00:41,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,852728132,21004420,0,0,0,-109,LTE,405,51,43,60023,2,202,-86,-11,86,4,0,-1,-1.0,-1.0,1800,1566,129112,17:0:41,138448,872993.0
22,22.32100257,87.30652535,-4.0,16:60:42,1.88,13,17:00:42,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,852840452,21008684,0,0,0,-98,LTE,405,51,43,60023,2,202,-86,-11,86,4,0,-1,-1.0,-1.0,1800,1566,103524,17:0:42,107276,1040573.875
23,22.32100059,87.30650664,-5.0,16:60:43,1.95,13,17:00:43,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,852977252,21011180,0,0,0,-101,LTE,405,51,43,60023,2,202,-87,-11,86,4,0,-1,-1.0,-1.0,1800,1566,116584,17:0:43,119604,821617.625
24,22.32099838,87.30648909,-5.0,16:60:44,1.81,13,17:00:44,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,853085252,21013208,0,0,0,-108,LTE,405,51,43,60023,2,202,-87,-11,86,4,0,-1,-1.0,-1.0,1800,1566,139296,17:0:44,139992,864459.3229166666
