Index (sec),latitude,longitude,elevation,time_gps,speed,sat,sys_time,sim_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac,node_id,cid,psc_pci,rssi,rsrq,rssnr,slev,gps,accuracy,lat,long,band,arfcn,Network Throughput,Time tcp,Throughput tcp,Predicted Throughput
1,22.3146157,87.31612444,-3.0,17:47:28,0.0,12,17:47:28,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,889333945,19869277,0,0,1,-103,LTE,405,51,43,60022,2,397,-94,-14,42,4,0,-1,-1.0,-1.0,1800,1566,0,17:47:28,154040,1576040.5
2,22.31461569,87.316121,-3.0,17:47:29,0.71,13,17:47:29,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,890239785,19904977,0,0,1,-103,LTE,405,51,43,60022,2,397,-94,-14,42,4,0,-1,-1.0,-1.0,1800,1566,0,17:47:29,1023960,1308390.375
3,22.31461243,87.31611953,-3.0,17:47:30,0.71,13,17:47:30,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,891106825,19942351,0,0,1,-103,LTE,405,51,43,60022,2,397,-94,-14,42,4,0,-1,-1.0,-1.0,1800,1566,941540,17:47:30,1016288,1308390.375
4,22.31461092,87.31611806,-3.0,17:47:31,0.0,11,17:47:31,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,892198977,19973907,0,0,3,-105,LTE,405,51,43,60022,2,397,-95,-14,42,4,0,-1,-1.0,-1.0,1800,1566,904414,17:47:31,1001506,463673.903300519
5,22.31461011,87.31611721,-3.0,17:47:32,0.0,10,17:47:32,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,893299117,20019259,0,0,3,-105,LTE,405,51,43,60022,2,397,-95,-14,42,4,0,-1,-1.0,-1.0,1800,1566,1123708,17:47:32,1087332,463673.903300519
6,22.31460936,87.31611568,-3.0,17:47:33,0.0,12,17:47:33,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,894594897,20046767,0,0,3,-105,LTE,405,51,43,60022,2,397,-95,-14,42,4,0,-1,-1.0,-1.0,1800,1566,1145492,17:47:33,1297004,463673.903300519
7,22.31460877,87.31611619,-3.0,17:47:34,0.45,13,17:47:34,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,895782137,20069335,0,0,2,-99,LTE,405,51,43,60022,2,397,-93,-14,42,4,0,-1,-1.0,-1.0,1800,1566,1323288,17:47:34,1289828,695580.4
8,22.31461587,87.31611498,-3.0,17:47:35,1.6,13,17:47:35,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,896618297,20086319,0,0,2,-99,LTE,405,51,43,60022,2,397,-93,-14,42,4,0,-1,-1.0,-1.0,1800,1566,1209808,17:47:35,1205356,356869.75
9,22.31462991,87.31611394,-3.0,17:47:36,1.41,13,17:47:36,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,897253457,20121999,0,0,2,-99,LTE,405,51,43,60022,2,397,-93,-14,42,4,0,-1,-1.0,-1.0,1800,1566,853144,17:47:36,866316,327045.375
10,22.31464074,87.31611596,-4.0,17:47:37,1.25,13,17:47:37,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,897762657,20150611,0,0,3,-106,LTE,405,51,43,60022,2,397,-99,-15,42,3,0,-1,-1.0,-1.0,1800,1566,670840,17:47:37,683472,506597.4270833333
11,22.31465264,87.31611734,-3.0,17:47:38,1.49,12,17:47:38,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,898346897,20163663,0,0,3,-106,LTE,405,51,43,60022,2,397,-99,-15,42,3,0,-1,-1.0,-1.0,1800,1566,537812,17:47:38,564248,500917.0208333333
12,22.31466929,87.31611552,-3.0,17:47:39,2.11,9,17:47:39,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,898639017,20176471,0,0,3,-106,LTE,405,51,43,60022,2,397,-99,-15,42,3,0,-1,-1.0,-1.0,1800,1566,597292,17:47:39,547560,664174.8159722222
13,22.31468607,87.31611159,-4.0,17:47:40,1.85,13,17:47:40,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,899266137,20191143,0,0,3,-101,LTE,405,51,43,60022,2,397,-99,-15,42,3,0,-1,-1.0,-1.0,1800,1566,304928,17:47:40,360140,525567.875
14,22.31470262,87.31610765,-4.0,17:47:41,1.98,13,17:47:41,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,899764617,20200763,0,0,3,-101,LTE,405,51,43,60022,2,397,-99,-15,42,3,0,-1,-1.0,-1.0,1800,1566,641792,17:47:41,646480,204683.8169642857
15,22.31472027,87.31610583,-4.0,17:47:42,1.87,11,17:47:42,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,900339477,20212047,0,0,3,-101,LTE,405,51,43,60022,2,397,-99,-15,42,3,0,-1,-1.0,-1.0,1800,1566,508100,17:47:42,543388,211081.78125
16,22.31473793,87.31610261,-3.0,17:47:43,1.76,15,17:47:43,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,900973297,20224371,0,0,3,-99,LTE,405,51,43,60022,2,397,-96,-14,42,3,0,-1,-1.0,-1.0,1800,1566,586144,17:47:43,600992,802139.3125
17,22.31475621,87.31609985,-3.0,17:47:44,1.99,13,17:47:44,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,901966237,20243611,0,0,3,-99,LTE,405,51,43,60022,2,397,-96,-14,42,3,0,-1,-1.0,-1.0,1800,1566,646144,17:47:44,728796,148033.88645833335
18,22.31477585,87.3161001,-3.0,17:47:45,2.15,14,17:47:45,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,902474097,20253491,0,0,3,-99,LTE,405,51,43,60022,2,397,-96,-14,42,3,0,-1,-1.0,-1.0,1800,1566,1012180,17:47:45,984244,148330.25
19,22.3147964,87.31609967,-4.0,17:47:46,2.14,14,17:47:46,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,903030197,20264203,0,0,3,-105,LTE,405,51,43,60022,2,397,-101,-15,42,3,0,-1,-1.0,-1.0,1800,1566,517740,17:47:46,492764,235339.70833333334
20,22.31481807,87.31609507,-4.0,17:47:47,2.28,15,17:47:47,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,903483117,20272991,0,0,3,-105,LTE,405,51,43,60022,2,397,-101,-15,42,3,0,-1,-1.0,-1.0,1800,1566,566812,17:47:47,590964,1064016.6041666665
21,22.31483867,87.31608941,-5.0,17:47:48,1.96,14,17:47:48,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,903602377,20278183,0,0,3,-105,LTE,405,51,43,60022,2,397,-101,-15,42,3,0,-1,-1.0,-1.0,1800,1566,461708,17:47:48,447940,621844.125
22,22.31485895,87.31608239,-5.0,17:47:49,1.78,14,17:47:49,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,903680097,20282347,0,0,4,-103,LTE,405,51,43,60022,2,397,-98,-13,42,3,0,-1,-1.0,-1.0,1800,1566,124452,17:47:49,97748,470486.4375
23,22.31487784,87.31607917,-5.0,17:47:50,1.93,13,17:47:50,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,904768177,20304031,0,0,4,-103,LTE,405,51,43,60022,2,397,-98,-13,42,3,0,-1,-1.0,-1.0,1800,1566,81884,17:47:50,183148,488740.25
24,22.3148972,87.31607782,-5.0,17:47:51,2.1,15,17:47:51,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,905590937,20319579,0,0,4,-103,LTE,405,51,43,60022,2,397,-98,-13,42,3,0,-1,-1.0,-1.0,1800,1566,1109764,17:47:51,1205356,790264.875
25,22.31491681,87.31607624,-6.0,17:47:52,2.07,15,17:47:52,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,906251557,20332111,0,0,2,-109,LTE,405,51,43,60022,2,397,-96,-14,42,3,0,-1,-1.0,-1.0,1800,1566,838308,17:47:52,737944,472359.375
26,22.31493565,87.31607607,-6.0,17:47:53,1.8,13,17:47:53,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,907114517,20348751,0,0,2,-109,LTE,405,51,43,60022,2,397,-96,-14,42,3,0,-1,-1.0,-1.0,1800,1566,673152,17:47:53,791456,556469.6625
27,22.31495623,87.31607731,-7.0,17:47:54,1.98,14,17:47:54,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,907755037,20361127,0,0,2,-109,LTE,405,51,43,60022,2,397,-96,-14,42,3,0,-1,-1.0,-1.0,1800,1566,879600,17:47:54,852108,462715.0
28,22.3149782,87.31607852,-6.0,17:47:55,2.24,15,17:47:55,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,908415657,20373815,0,0,4,-97,LTE,405,51,43,60022,2,397,-96,-14,42,3,0,-1,-1.0,-1.0,1800,1566,652896,17:47:55,666780,518686.875
29,22.31500042,87.31608173,-7.0,17:47:56,2.29,14,17:47:56,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,908959697,20384371,0,0,4,-97,LTE,405,51,43,60022,2,397,-96,-14,42,3,0,-1,-1.0,-1.0,1800,1566,673308,17:47:56,694780,335248.0
30,22.31502206,87.31608861,-6.0,17:47:57,2.3,15,17:47:57,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,909471577,20397715,0,0,4,-97,LTE,405,51,43,60022,2,397,-96,-14,42,3,0,-1,-1.0,-1.0,1800,1566,554596,17:47:57,534884,310122.75
31,22.31504028,87.31609427,-6.0,17:47:58,2.27,13,17:47:58,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,910297017,20413315,0,0,2,-105,LTE,405,51,43,60022,2,397,-95,-13,42,4,0,-1,-1.0,-1.0,1800,1566,525224,17:47:58,583148,517767.25
32,22.3150585,87.31609449,-7.0,17:47:59,2.49,15,17:47:59,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,910946917,20427239,0,0,2,-105,LTE,405,51,43,60022,2,397,-95,-13,42,4,0,-1,-1.0,-1.0,1800,1566,841040,17:47:59,917176,936332.5625
33,22.31507694,87.31609149,-6.0,17:48:00,2.17,13,17:48:00,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,911702677,20453315,0,0,2,-105,LTE,405,51,43,60022,2,397,-95,-13,42,4,0,-1,-1.0,-1.0,1800,1566,663824,17:48:0,651504,489778.9375
34,22.3150988,87.3160944,-8.0,17:48:01,2.94,13,17:48:01,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,912323097,20467511,0,0,4,-104,LTE,405,51,43,60022,2,397,-101,-15,42,3,0,-1,-1.0,-1.0,1800,1566,781836,17:48:1,845468,518496.625
35,22.31512325,87.31609585,-8.0,17:48:02,2.67,14,17:48:02,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,912885897,20491359,0,0,4,-104,LTE,405,51,43,60022,2,397,-101,-15,42,3,0,-1,-1.0,-1.0,1800,1566,634616,17:48:2,579008,321382.75
36,22.31514649,87.31609582,-8.0,17:48:03,2.55,15,17:48:03,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,913822557,20509559,0,0,4,-104,LTE,405,51,43,60022,2,397,-101,-15,42,3,0,-1,-1.0,-1.0,1800,1566,586648,17:48:3,619396,569939.3125
37,22.31516836,87.31609426,-8.0,17:48:04,2.47,15,17:48:04,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,914534097,20523391,0,0,4,-108,LTE,405,51,43,60022,2,397,-99,-14,42,3,0,-1,-1.0,-1.0,1800,1566,954860,17:48:4,1033344,227250.50625
38,22.31519033,87.31609325,-9.0,17:48:05,2.63,15,17:48:05,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,914932077,20533631,0,0,4,-108,LTE,405,51,43,60022,2,397,-99,-14,42,3,0,-1,-1.0,-1.0,1800,1566,725372,17:48:5,717484,218185.125
39,22.31521497,87.31608759,-10.0,17:48:06,3.04,14,17:48:06,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,915205437,20549871,0,0,4,-108,LTE,405,51,43,60022,2,397,-99,-14,42,3,0,-1,-1.0,-1.0,1800,1566,408220,17:48:6,347944,262877.625
40,22.3152392,87.31608011,-10.0,17:48:07,2.78,14,17:48:07,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,915576617,20566239,0,0,3,-107,LTE,405,51,43,60022,2,397,-103,-15,42,3,0,-1,-1.0,-1.0,1800,1566,289600,17:48:7,289856,601962.0
