Index (sec),latitude,longitude,elevation,time_gps,speed,sat,sys_time,sim_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac,node_id,cid,psc_pci,rssi,rsrq,rssnr,slev,gps,accuracy,lat,long,band,arfcn,Network Throughput,Time tcp,Throughput tcp,Predicted Throughput
1,22.30975763,87.30654804,8,17:03:51,0.0,12,17:03:51,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,231000263,5274985,0,0,3,-105,LTE,405,51,42,62289,2,336,-101,-8,54,3,0,-1,-1,-1,1800,1566,206292,17:03:51,4252,274701.3888354701
2,22.30975721,87.30654615,8,17:03:52,0.0,11,17:03:52,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,231221475,5279831,0,0,3,-105,LTE,405,51,42,62289,2,336,-101,-8,54,3,0,-1,-1,-1,1800,1566,125724,17:03:52,147460,274701.3888354701
3,22.30975705,87.30654535,8,17:03:53,0.0,12,17:03:53,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,231455975,5288191,0,0,3,-98,LTE,405,51,42,62289,2,336,-100,-8,54,3,0,-1,-1,-1,1800,1566,226058,17:03:53,246010,426459.22321047005
4,22.30975958,87.30654201,8,17:03:54,0.52,12,17:03:54,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,231694495,5297147,0,0,3,-98,LTE,405,51,42,62289,2,336,-100,-8,54,3,0,-1,-1,-1,1800,1566,242860,17:03:54,261832,242669.8125
5,22.30976207,87.30653158,9,17:03:55,0.86,12,17:03:55,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,231861995,5302003,0,0,3,-103,LTE,405,51,42,62289,2,336,-100,-10,54,3,0,-1,-1,-1,1800,1566,247476,17:03:55,221392,265886.4375
6,22.30976367,87.30651729,9,17:03:56,1.19,12,17:03:56,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,231958475,5303823,0,0,3,-103,LTE,405,51,42,62289,2,336,-100,-10,54,3,0,-1,-1,-1,1800,1566,172356,17:03:56,176016,94915.75
7,22.30976456,87.30650157,10,17:03:57,1.22,12,17:03:57,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,232037535,5307075,0,0,3,-103,LTE,405,51,42,62289,2,336,-100,-10,54,3,0,-1,-1,-1,1800,1566,98300,17:03:57,102532,113497.625
8,22.30976323,87.30648747,12,17:03:58,1.36,12,17:03:58,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,232418095,5318551,0,0,2,-104,LTE,405,51,42,60004,1,381,-101,-12,54,3,0,-1,-1,-1,1800,1566,82312,17:03:58,82616,326161.8125
9,22.30976076,87.30647314,12,17:03:59,1.34,12,17:03:59,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,232968835,5329263,0,0,2,-104,LTE,405,51,42,60004,1,381,-101,-12,54,3,0,-1,-1,-1,1800,1566,392036,17:03:59,468316,211222.4083333333
10,22.3097587,87.30645661,11,17:04:00,1.67,12,17:04:00,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,233475355,5339091,0,0,2,-104,LTE,405,51,42,60004,1,381,-101,-12,54,3,0,-1,-1,-1,1800,1566,561452,17:04:00,596660,180147.9375
11,22.30975597,87.30644224,11,17:04:01,1.36,13,17:04:01,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,233873335,5346787,0,0,2,-100,LTE,405,51,42,60004,1,381,-100,-13,54,3,0,-1,-1,-1,1800,1566,516348,17:04:01,532076,438854.0
12,22.30975473,87.30642989,12,17:04:02,1.39,13,17:04:02,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,234294095,5354795,0,0,2,-100,LTE,405,51,42,60004,1,381,-100,-13,54,3,0,-1,-1,-1,1800,1566,405676,17:04:02,359424,495433.62499999994
13,22.30975122,87.30641573,11,17:04:03,1.57,14,17:04:03,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,234805975,5366363,0,0,2,-100,LTE,405,51,42,60004,1,381,-100,-13,54,3,0,-1,-1,-1,1800,1566,428768,17:04:03,479928,631083.9375
14,22.30975323,87.30640515,11,17:04:04,1.16,14,17:04:04,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,235258895,5375843,0,0,3,-100,LTE,405,51,42,60004,1,381,-101,-13,54,3,0,-1,-1,-1,1800,1566,523448,17:04:04,509656,382541.5625
15,22.30975508,87.30639457,12,17:04:05,1.24,14,17:04:05,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,235723875,5384787,0,0,3,-100,LTE,405,51,42,60004,1,381,-101,-13,54,3,0,-1,-1,-1,1800,1566,462400,17:04:05,500224,329372.625
16,22.30975695,87.30638089,12,17:04:06,1.58,14,17:04:06,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,236257195,5395135,0,0,3,-100,LTE,405,51,42,60004,1,381,-101,-13,54,3,0,-1,-1,-1,1800,1566,473924,17:04:06,471664,469510.63645833335
17,22.30975879,87.30636563,11,17:04:07,1.64,14,17:04:07,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,236891015,5407147,0,0,3,-100,LTE,405,51,42,60004,1,381,-101,-13,54,3,0,-1,-1,-1,1800,1566,543668,17:04:07,600832,280544.77760416665
18,22.30975846,87.30634884,11,17:04:08,1.58,13,17:04:08,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,237594515,5419263,0,0,3,-100,LTE,405,51,42,60004,1,381,-101,-13,54,3,0,-1,-1,-1,1800,1566,645832,17:04:08,659480,469510.63645833335
19,22.30976033,87.30633307,10,17:04:09,1.68,13,17:04:09,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,238164015,5437959,0,0,3,-100,LTE,405,51,42,60004,1,381,-101,-13,54,3,0,-1,-1,-1,1800,1566,715616,17:04:09,773972,348088.90625
20,22.30976399,87.3063193,10,17:04:10,1.61,13,17:04:10,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,238603535,5464047,0,0,4,-101,LTE,405,51,42,60004,1,381,-99,-13,54,3,0,-1,-1,-1,1800,1566,588196,17:04:10,530580,140308.5875
21,22.309765399999996,87.30630936,12,17:04:11,1.35,13,17:04:11,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,239051095,5485139,0,0,4,-101,LTE,405,51,42,60004,1,381,-99,-13,54,3,0,-1,-1,-1,1800,1566,465608,17:04:11,463204,230216.625
22,22.30976795,87.30629605,9,17:04:12,1.64,14,17:04:12,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,239695635,5504483,0,0,4,-101,LTE,405,51,42,60004,1,381,-99,-13,54,3,0,-1,-1,-1,1800,1566,468652,17:04:12,544148,66166.125
23,22.30977103,87.30627750000001,7,17:04:13,1.77,14,17:04:13,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,240289255,5516027,0,0,2,-97,LTE,405,51,42,60004,1,381,-99,-13,54,3,0,-1,-1,-1,1800,1566,663884,17:04:13,685128,399970.375
24,22.30977247,87.30625742,6,17:04:14,1.86,14,17:04:14,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,240730115,5525163,0,0,2,-97,LTE,405,51,42,60004,1,381,-99,-13,54,3,0,-1,-1,-1,1800,1566,605164,17:04:14,596740,810034.64375
25,22.30977233,87.30623326,3,17:04:15,2.09,14,17:04:15,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,241185715,5547371,0,0,2,-97,LTE,405,51,42,60004,1,381,-99,-13,54,3,0,-1,-1,-1,1800,1566,449996,17:04:15,441908,621347.75
26,22.30977293,87.30620677,2,17:04:16,2.11,13,17:04:16,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,241744495,5558343,0,0,3,-95,LTE,405,51,42,60004,1,381,-98,-14,54,3,0,-1,-1,-1,1800,1566,477808,17:04:16,514136,394470.3052083333
27,22.30977088,87.30618702,3,17:04:17,1.48,14,17:04:17,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,242440306,5572557,0,0,3,-95,LTE,405,51,42,60004,1,381,-98,-14,54,3,0,-1,-1,-1,1800,1566,569752,17:04:17,591124,553183.0
28,22.30976875,87.30617286,4,17:04:18,1.31,14,17:04:18,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,243061096,5588247,0,0,3,-95,LTE,405,51,42,60004,1,381,-98,-14,54,3,0,-1,-1,-1,1800,1566,710025,17:04:18,742570,599516.1979166667
29,22.30976531,87.30616039,3,17:04:19,1.34,14,17:04:19,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,243748234,5601663,0,0,4,-98,LTE,405,51,42,60004,1,381,-98,-13,54,3,0,-1,-1,-1,1800,1566,636480,17:04:19,682254,158038.125
30,22.30976327,87.3061425,2,17:04:20,1.75,14,17:04:20,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,244159614,5617075,0,0,4,-98,LTE,405,51,42,60004,1,381,-98,-13,54,3,0,-1,-1,-1,1800,1566,700554,17:04:20,644476,270687.4791666667
31,22.30976282,87.30612021,1,17:04:21,1.88,14,17:04:21,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,244545534,5628879,0,0,4,-98,LTE,405,51,42,60004,1,381,-98,-13,54,3,0,-1,-1,-1,1800,1566,426792,17:04:21,449304,54919.375
32,22.30976256,87.30610074,1,17:04:22,1.55,14,17:04:22,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,245093594,5639539,0,0,3,-98,LTE,405,51,42,60004,1,381,-97,-13,54,3,0,-1,-1,-1,1800,1566,397724,17:04:22,420108,447450.0625
33,22.30976248,87.30608597,0,17:04:23,1.36,14,17:04:23,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,245735454,5651863,0,0,3,-98,LTE,405,51,42,60004,1,381,-97,-13,54,3,0,-1,-1,-1,1800,1566,558720,17:04:23,582700,397230.5
34,22.30976253,87.30607015,-1,17:04:24,1.43,14,17:04:24,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,246375974,5668051,0,0,3,-98,LTE,405,51,42,60004,1,381,-97,-13,54,3,0,-1,-1,-1,1800,1566,654184,17:04:24,701920,302646.5
35,22.30976292,87.30605329999999,-2,17:04:25,1.48,14,17:04:25,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,246902594,5680195,0,0,4,-99,LTE,405,51,42,60004,1,381,-98,-13,54,3,0,-1,-1,-1,1800,1566,656708,17:04:25,649612,150497.84375
36,22.30976432,87.30603394,-3,17:04:26,1.8,14,17:04:26,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,247559194,5701519,0,0,4,-99,LTE,405,51,42,60004,1,381,-98,-13,54,3,0,-1,-1,-1,1800,1566,538764,17:04:26,544960,165866.78125
37,22.30976579,87.30601214,-4,17:04:27,1.88,14,17:04:27,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,248363194,5725127,0,0,4,-99,LTE,405,51,42,60004,1,381,-98,-13,54,3,0,-1,-1,-1,1800,1566,677924,17:04:27,727912,114103.125
38,22.30976705,87.3059915,-4,17:04:28,1.84,14,17:04:28,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,249208734,5741559,0,0,3,-96,LTE,405,51,42,60004,1,381,-96,-13,54,3,0,-1,-1,-1,1800,1566,827608,17:04:28,896440,975381.1666666666
39,22.30976635,87.30597009999998,-4,17:04:29,2.0,14,17:04:29,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,250019434,5762799,0,0,3,-96,LTE,405,51,42,60004,1,381,-96,-13,54,3,0,-1,-1,-1,1800,1566,861972,17:04:29,845288,1049716.25
40,22.30976463,87.30594994,-5,17:04:30,1.83,14,17:04:30,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,250574194,5775359,0,0,3,-96,LTE,405,51,42,60004,1,381,-96,-13,54,3,0,-1,-1,-1,1800,1566,831940,17:04:30,926796,882995.125
41,22.30976042,87.30593082,-6,17:04:31,1.81,14,17:04:31,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,251082054,5798487,0,0,3,-97,LTE,405,51,42,60004,1,381,-95,-12,54,4,0,-1,-1,-1,1800,1566,567320,17:04:31,483912,378588.9458333333
42,22.30975594,87.30591322,-6,17:04:32,1.82,14,17:04:32,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,251581874,5808211,0,0,3,-97,LTE,405,51,42,60004,1,381,-95,-12,54,4,0,-1,-1,-1,1800,1566,530988,17:04:32,582196,747603.9583333333
43,22.3097515,87.30589757,-6,17:04:33,1.65,14,17:04:33,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,252330934,5822771,0,0,5,-95,LTE,405,51,42,60004,1,381,-95,-13,54,4,0,-1,-1,-1,1800,1566,509544,17:04:33,563044,244056.09375
44,22.30974428,87.30587874,-6,17:04:34,2.07,14,17:04:34,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,253144314,5838579,0,0,5,-95,LTE,405,51,42,60004,1,381,-95,-13,54,4,0,-1,-1,-1,1800,1566,763620,17:04:34,751260,267852.71875
45,22.30973865,87.30586043,-6,17:04:35,1.84,14,17:04:35,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,253851834,5855967,0,0,5,-95,LTE,405,51,42,60004,1,381,-95,-13,54,4,0,-1,-1,-1,1800,1566,829188,17:04:35,898560,350223.5
46,22.30973573,87.3058441,-6,17:04:36,1.71,15,17:04:36,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,254816634,5880331,0,0,3,-96,LTE,405,51,42,60004,1,381,-91,-11,54,4,0,-1,-1,-1,1800,1566,724908,17:04:36,701916,503580.6875
47,22.30973287,87.30582687,-6,17:04:37,1.74,15,17:04:37,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,255759994,5901907,0,0,3,-96,LTE,405,51,42,60004,1,381,-91,-11,54,4,0,-1,-1,-1,1800,1566,989164,17:04:37,1044844,691735.2527777778
48,22.30973007,87.30581154,-5,17:04:38,1.56,15,17:04:38,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,256877634,5923726,0,0,3,-97,LTE,405,51,42,60004,1,381,-92,-12,54,4,0,-1,-1,-1,1800,1566,964936,17:04:38,1011044,1158419.8666666665
49,22.30972602,87.30579512,-3,17:04:39,1.83,15,17:04:39,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,257782134,5941437,0,0,3,-97,LTE,405,51,42,60004,1,381,-92,-12,54,4,0,-1,-1,-1,1800,1566,1139459,17:04:39,1192355,606207.9916666667
50,22.30972244,87.30577799,-2,17:04:40,1.85,15,17:04:40,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,258842194,5962081,0,0,3,-97,LTE,405,51,42,60004,1,381,-92,-12,54,4,0,-1,-1,-1,1800,1566,922211,17:04:40,949503,280404.4375
51,22.30971897,87.30576073,-1,17:04:41,1.86,15,17:04:41,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,259656914,5977889,0,0,1,-97,LTE,405,51,42,60004,1,381,-89,-11,54,4,0,-1,-1,-1,1800,1566,1080704,17:04:41,1047448,445925.0
52,22.30971656,87.30574541,-1,17:04:42,1.52,15,17:04:42,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,260324234,5990837,0,0,1,-97,LTE,405,51,42,60004,1,381,-89,-11,54,4,0,-1,-1,-1,1800,1566,830528,17:04:42,818572,442264.8020833333
53,22.30971598,87.30573036,-3,17:04:43,1.69,15,17:04:43,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,261499414,6013613,0,0,1,-97,LTE,405,51,42,60004,1,381,-89,-11,54,4,0,-1,-1,-1,1800,1566,680268,17:04:43,745484,752005.71875
54,22.30971656,87.30571159,-3,17:04:44,1.87,15,17:04:44,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,262611614,6035193,0,0,3,-95,LTE,405,51,42,60004,1,381,-91,-11,54,4,0,-1,-1,-1,1800,1566,1197956,17:04:44,1325376,456190.375
55,22.30971767,87.30569064,-3,17:04:45,2.0,15,17:04:45,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,263672894,6055785,0,0,3,-95,LTE,405,51,42,60004,1,381,-91,-11,54,4,0,-1,-1,-1,1800,1566,1133780,17:04:45,1119028,1056693.625
56,22.30972012,87.30566809,-3,17:04:46,2.16,15,17:04:46,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,264665834,6075077,0,0,3,-95,LTE,405,51,42,60004,1,381,-91,-11,54,4,0,-1,-1,-1,1800,1566,1081872,17:04:46,1043132,508868.6770833334
57,22.30972285,87.30564646,-3,17:04:47,2.08,15,17:04:47,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,265925434,6104973,0,0,3,-96,LTE,405,51,42,60004,1,381,-92,-11,54,4,0,-1,-1,-1,1800,1566,1012232,17:04:47,1116220,293469.625
58,22.30972505,87.30562567,-3,17:04:48,2.07,15,17:04:48,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,267010834,6127161,0,0,3,-96,LTE,405,51,42,60004,1,381,-92,-11,54,4,0,-1,-1,-1,1800,1566,1289496,17:04:48,1324480,338642.06875
59,22.30972761,87.30560452,0,17:04:49,2.06,13,17:04:49,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,268171274,6167613,0,0,3,-96,LTE,405,51,42,60004,1,381,-92,-11,54,4,0,-1,-1,-1,1800,1566,1107588,17:04:49,1147512,544752.6666666667
60,22.30973042,87.30558169,-1,17:04:50,2.23,13,17:04:50,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,269197714,6203105,0,0,3,-99,LTE,405,51,42,60004,1,381,-95,-12,54,4,0,-1,-1,-1,1800,1566,1200892,17:04:50,1240752,484069.375
61,22.30973385,87.30556145,-1,17:04:51,1.97,13,17:04:51,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,269856994,6228421,0,0,3,-99,LTE,405,51,42,60004,1,381,-95,-12,54,4,0,-1,-1,-1,1800,1566,1061932,17:04:51,1025068,504292.78125
62,22.30973798,87.30553725,-2,17:04:52,2.16,13,17:04:52,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,270758814,6262681,0,0,3,-99,LTE,405,51,42,60004,1,381,-95,-12,54,4,0,-1,-1,-1,1800,1566,684596,17:04:52,714284,583962.375
63,22.30974363,87.30551111,-2,17:04:53,2.26,13,17:04:53,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,271845554,6283741,0,0,3,-97,LTE,405,51,42,60004,1,381,-96,-11,54,3,0,-1,-1,-1,1800,1566,936080,17:04:53,1003888,606969.59375
64,22.30974921,87.30548736,-3,17:04:54,2.2,14,17:04:54,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,272838494,6302981,0,0,3,-97,LTE,405,51,42,60004,1,381,-96,-11,54,3,0,-1,-1,-1,1800,1566,1107800,17:04:54,1083888,341427.25
65,22.30975363,87.30546281,-3,17:04:55,2.25,14,17:04:55,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,273923894,6324093,0,0,3,-97,LTE,405,51,42,60004,1,381,-96,-11,54,3,0,-1,-1,-1,1800,1566,1012180,17:04:55,1112048,617637.0044642857
66,22.30975718,87.30543876,-3,17:04:56,2.15,14,17:04:56,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,274919514,6343385,0,0,2,-100,LTE,405,51,42,60004,1,381,-95,-11,54,4,0,-1,-1,-1,1800,1566,1106512,17:04:56,1067040,396609.525
67,22.30975947,87.30541906,-4,17:04:57,1.93,15,17:04:57,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,276003574,6364393,0,0,2,-100,LTE,405,51,42,60004,1,381,-95,-11,54,4,0,-1,-1,-1,1800,1566,1014912,17:04:57,1117584,320601.5520833333
68,22.30975951,87.30539583,-5,17:04:58,2.23,15,17:04:58,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,276993834,6383633,0,0,2,-100,LTE,405,51,42,60004,1,381,-95,-11,54,4,0,-1,-1,-1,1800,1566,1105068,17:04:58,1089504,498113.22500000003
69,22.30975892,87.30536991,-6,17:04:59,2.19,15,17:04:59,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,278036354,6403861,0,0,2,-95,LTE,405,51,42,60004,1,381,-94,-11,54,4,0,-1,-1,-1,1800,1566,1009500,17:04:59,1058616,432371.0125
70,22.30975928,87.30534367,-6,17:05:00,2.22,14,17:05:00,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,279187414,6426221,0,0,2,-95,LTE,405,51,42,60004,1,381,-94,-11,54,4,0,-1,-1,-1,1800,1566,1062748,17:05:00,1165320,646444.1791666666
71,22.30975807,87.30531947,-6,17:05:01,1.86,14,17:05:01,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,280306314,6447957,0,0,2,-95,LTE,405,51,42,60004,1,381,-94,-11,54,4,0,-1,-1,-1,1800,1566,1173420,17:05:01,1190592,816751.875
72,22.30975656,87.30530093,-5,17:05:02,1.38,14,17:05:02,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,281184014,6481065,0,0,2,-94,LTE,405,51,42,60004,1,381,-92,-11,54,4,0,-1,-1,-1,1800,1566,1140636,17:05:02,1092312,458378.1875
73,22.30975413,87.30528506,-5,17:05:03,1.62,15,17:05:03,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,282264054,6521097,0,0,2,-94,LTE,405,51,42,60004,1,381,-92,-11,54,4,0,-1,-1,-1,1800,1566,910808,17:05:03,937268,167155.19330357143
74,22.30974943,87.30526655,-4,17:05:04,1.99,15,17:05:04,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,283436554,6544389,0,0,2,-94,LTE,405,51,42,60004,1,381,-92,-11,54,4,0,-1,-1,-1,1800,1566,1120072,17:05:04,1223388,437649.8125
75,22.30974309,87.3052522,2,17:05:05,1.68,15,17:05:05,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,284700174,6568881,0,0,2,-96,LTE,405,51,42,60004,1,381,-91,-11,54,4,0,-1,-1,-1,1800,1566,1195792,17:05:05,1246752,636000.2583333334
